Joaquim CRUZ,124527
George Robert CRYER,1794
Pál CSÁKY,124930
Katalin CSEH,197588
Magor Imre CSIBI,39719
Ciarán CUFFE,197654
Arlindo CUNHA,2156
Artur DA CUNHA OLIVEIRA,1270
Tony A. CUNNINGHAM,2014
David M. CURRY,1716
Joseph CUSCHIERI,110984
John Walls CUSHNAHAN,1288
Josianne CUTAJAR,197394
George Sabin CUTAȘ,96856
Zygmunt Alojzy CYBULSKI,23715
Tadeusz CYMAŃSKI,96786
Marek Aleksander CZARNECKI,28371
Ryszard CZARNECKI,28372
Edward CZESAK,132925
Imre CZINEGE,23803
Frédéric DAERDEN,97125
Hanne DAHL,40817
Daniel DĂIANU,39716
Georgios DALAKOURAS,894
Massimo D'ALEMA,28431
Peter van DALEN,96809
Miriam DALLI,124970
Joachim DALSASS,1087
Daniel DALTON,35135
Jakop DALUNDE,183338
Margaret E. DALY,1368
Clare DALY,197731
Ian M. DALZIEL,895
Rijk van DAM,2318
Rosa D'AMATO,124835
Félix DAMETTE,896
Elisa Maria DAMIÃO,2330
André R.J.-M.H.-A DAMSEAUX,646
Seb DANCE,124952
Viorica DĂNCILĂ,95281
Giampaolo V.E. D'ANDREA,2144
Spyros DANELLIS,99325
Alessandro DANESIN,2250
Francescopaolo D'ANGELOSANTE,891
Johan DANIELSSON,38542
Arnaud DANJEAN,96747
Pieter DANKERT,1453
Nicola DANTI,124821
Michel DANTIN,97296
Gianantonio DA RE,197608
Danielle DARRAS,1979
William (The Earl of) DARTMOUTH,96958
Michel J.M. DARY,1959
Katerina DASKALAKI,2190
Rachida DATI,72775
Martin Edward DAUBNEY,197760
Joseph DAUL,4342
Noel Michael DAVERN,892
Mário DAVID,96973
Dragoș Florin DAVID,39712
Wayne DAVID,1314
Ivan DAVID,197556
Chris DAVIES,4554
Francesco DE ANGELIS,96887
Philippe DE BACKER,109337
Rika M.R. DE BACKER-VAN OCKEN,1735
Michel DEBATISSE,1710
Antonio DE BLASIO,36748
Michel J.-P. DEBRÉ,888
Bairbre de BRÚN,28511
Paolo DE CASTRO,96891
Jérémy DECERLE,197504
Willy C.E.H. DE CLERCQ,1296
Philippe C. DE COENE,2244
Francis DECOURRIÈRE,2026
Laura DE ESTEBAN MARTIN,1999
Jean P.M.O.G. DEFRAIGNE,1297
Biagio DE GIOVANNI,1130
Karel DE GUCHT,1472
Arūnas DEGUTIS,28270
